--------------------------------------------------------------------------------
Versions log started: 2026-05-11 13:40:27
--------------------------------------------------------------------------------
# packages in environment at C:\Users\siche\anaconda3\envs\template:
#
# Name                    Version                   Build  Channel
onemkl-license            2025.3.1            h57928b3_12    conda-forge
openjpeg                  2.5.4                h0e57b4f_0    conda-forge
openssl                   3.6.2                hf411b9b_0    conda-forge
overrides                 7.7.0              pyhd8ed1ab_1    conda-forge
packaging                 26.2               pyhc364b38_0    conda-forge
pandas                    3.0.2           py314hf700ef7_0    conda-forge
pandocfilters             1.5.0              pyhd8ed1ab_0    conda-forge
parso                     0.8.7              pyhcf101f3_0    conda-forge
patsy                     1.0.2              pyhcf101f3_0    conda-forge
pcre2                     10.47                hd2b5f0e_0    conda-forge
pillow                    12.2.0          py314h61b30b5_0    conda-forge
pip                       26.1.1             pyh145f28c_0    conda-forge
pixman                    0.46.4               h5112557_1    conda-forge
platformdirs              4.9.6              pyhcf101f3_0    conda-forge
prometheus_client         0.25.0             pyhd8ed1ab_0    conda-forge
prompt-toolkit            3.0.52             pyha770c72_0    conda-forge
prompt_toolkit            3.0.52               hd8ed1ab_0    conda-forge
psutil                    7.2.2           py314hc5dbbe4_0    conda-forge
pthread-stubs             0.4               h0e40799_1002    conda-forge
pure_eval                 0.2.3              pyhd8ed1ab_1    conda-forge
pycparser                 2.22               pyh29332c3_1    conda-forge
pygments                  2.20.0             pyhd8ed1ab_0    conda-forge
pyhdfe                    0.2.0              pyhd8ed1ab_1    conda-forge
pyparsing                 3.3.2              pyhcf101f3_0    conda-forge
pyside6                   6.11.0          py314h447aaf0_2    conda-forge
pysocks                   1.7.1              pyh09c184e_7    conda-forge
python                    3.14.4          h4b44e0e_100_cp314    conda-forge
python-dateutil           2.9.0.post0        pyhe01879c_2    conda-forge
python-fastjsonschema     2.21.2             pyhe01879c_0    conda-forge
python-gil                3.14.4             h4df99d1_100    conda-forge
python-json-logger        3.2.1              pyh332efcf_0    conda-forge
python-tzdata             2026.2             pyhd8ed1ab_0    conda-forge
python_abi                3.14                    8_cp314    conda-forge
pywin32                   311             py314h8f8f202_1    conda-forge
pywinpty                  2.0.15          py314h51f0985_1    conda-forge
pyyaml                    6.0.3           py314h2359020_1    conda-forge
pyzmq                     27.1.0          py312h343a6d4_2    conda-forge
qhull                     2020.2               hc790b64_5    conda-forge
qt6-main                  6.11.0          pl5321hfcac499_4    conda-forge
referencing               0.37.0             pyhcf101f3_0    conda-forge
requests                  2.33.1             pyhcf101f3_1    conda-forge
rfc3339-validator         0.1.4              pyhd8ed1ab_1    conda-forge
rfc3986-validator         0.1.1              pyh9f0ad1d_0    conda-forge
rfc3987-syntax            1.1.0              pyhe01879c_1    conda-forge
rpds-py                   0.30.0          py314h9f07db2_0    conda-forge
scipy                     1.17.1                   pypi_0    pypi
send2trash                2.1.0              pyh6dadd2b_1    conda-forge
setuptools                82.0.1             pyh332efcf_0    conda-forge
six                       1.17.0             pyhe01879c_1    conda-forge
smmap                     5.0.3              pyhd8ed1ab_0    conda-forge
sniffio                   1.3.1              pyhd8ed1ab_2    conda-forge
soupsieve                 2.8.3              pyhd8ed1ab_0    conda-forge
stack_data                0.6.3              pyhd8ed1ab_1    conda-forge
statsmodels               0.14.6          py314h2dcd201_0    conda-forge
tbb                       2023.0.0             ha3553a1_1    conda-forge
termcolor                 3.3.0              pyhd8ed1ab_0    conda-forge
terminado                 0.18.1             pyh6dadd2b_1    conda-forge
tinycss2                  1.4.0              pyhd8ed1ab_0    conda-forge
tk                        8.6.13               h6ed50ae_3    conda-forge
tomli                     2.4.1              pyhcf101f3_0    conda-forge
tornado                   6.5.5           py314h5a2d7ad_0    conda-forge
traitlets                 5.14.3             pyhd8ed1ab_1    conda-forge
typing-extensions         4.15.0               h396c80c_0    conda-forge
typing_extensions         4.15.0             pyhcf101f3_0    conda-forge
typing_utils              0.1.0              pyhd8ed1ab_1    conda-forge
tzdata                    2025c                hc9c84f9_1    conda-forge
ucrt                      10.0.26100.0         h57928b3_0    conda-forge
unicodedata2              17.0.1          py314h5a2d7ad_0    conda-forge
uri-template              1.3.0              pyhd8ed1ab_1    conda-forge
urllib3                   2.6.3              pyhd8ed1ab_0    conda-forge
vc                        14.3                h41ae7f8_34    conda-forge
vc14_runtime              14.44.35208         h818238b_34    conda-forge
vcomp14                   14.44.35208         h818238b_34    conda-forge
wcwidth                   0.7.0              pyhd8ed1ab_0    conda-forge
webcolors                 25.10.0            pyhd8ed1ab_0    conda-forge
webencodings              0.5.1              pyhd8ed1ab_3    conda-forge
websocket-client          1.9.0              pyhd8ed1ab_0    conda-forge
widgetsnbextension        4.0.15             pyhd8ed1ab_0    conda-forge
win_inet_pton             1.1.0              pyh7428d3b_8    conda-forge
winpty                    0.4.3                         4    conda-forge
wrapt                     2.1.2           py314h5a2d7ad_0    conda-forge
xorg-libxau               1.0.12               hba3369d_1    conda-forge
xorg-libxdmcp             1.1.5                hba3369d_1    conda-forge
yaml                      0.2.5                h6a83c73_3    conda-forge
zeromq                    4.3.5               h507cc87_10    conda-forge
zipp                      3.23.1             pyhcf101f3_0    conda-forge
zlib-ng                   2.3.3                h0261ad2_1    conda-forge
zstd                      1.5.7                h534d264_6    conda-forge

